RegionType,RegionName,State,CBSA Title,SizeRankCity,SizeRankMetro,PctPriceCut,DaysOnMarket,BuyerSellerIndex,BuyerSellerIndexMetro
City,Akron,OH,"Akron, OH",102,74,18.69731801,69,8.571428571,4.102209945
City,Cuyahoga Falls,OH,"Akron, OH",854,74,15.74074074,53,0.714285714,4.102209945
City,Kent,OH,"Akron, OH",1021,74,15.82733813,55,2.142857143,4.102209945
City,Stow,OH,"Akron, OH",1310,74,16.66666667,55,3.571428571,4.102209945
City,Ravenna,OH,"Akron, OH",1363,74,18.75,70,10,4.102209945
City,Barberton,OH,"Akron, OH",1864,74,14.38356164,61.5,2.857142857,4.102209945
City,Green,OH,"Akron, OH",1890,74,16.86746988,64,5.714285714,4.102209945
City,Twinsburg,OH,"Akron, OH",2260,74,16.16161616,65,4.285714286,4.102209945
City,Hudson,OH,"Akron, OH",2349,74,18.51851852,68,7.857142857,4.102209945
City,Northfield,OH,"Akron, OH",2820,74,18,59,5.714285714,4.102209945
City,Copley,OH,"Akron, OH",3438,74,22.22222222,69,9.285714286,4.102209945
City,Tallmadge,OH,"Akron, OH",3456,74,14.42307692,56.5,1.428571429,4.102209945
City,Aurora,OH,"Akron, OH",4111,74,17.81609195,69,7.142857143,4.102209945
City,Streetsboro,OH,"Akron, OH",4132,74,16.32653061,67.5,5.714285714,4.102209945
City,Albany,NY,"Albany-Schenectady-Troy, NY",281,60,16.83937824,78.5,2.352941176,8.784530387
City,Colonie,NY,"Albany-Schenectady-Troy, NY",461,60,18.61924686,82,4.705882353,8.784530387
City,Schenectady,NY,"Albany-Schenectady-Troy, NY",488,60,13.26259947,99,3.529411765,8.784530387
City,Troy,NY,"Albany-Schenectady-Troy, NY",877,60,17.64705882,90,7.647058824,8.784530387
City,Saratoga Springs,NY,"Albany-Schenectady-Troy, NY",1169,60,18.28703704,87,7.058823529,8.784530387
City,Clifton Park,NY,"Albany-Schenectady-Troy, NY",1251,60,14.97005988,81,1.176470588,8.784530387
City,Bethlehem,NY,"Albany-Schenectady-Troy, NY",1555,60,10.09174312,75,0.588235294,8.784530387
City,Guilderland,NY,"Albany-Schenectady-Troy, NY",1605,60,25.64102564,82,8.823529412,8.784530387
City,Halfmoon,NY,"Albany-Schenectady-Troy, NY",2195,60,16.08391608,89,4.117647059,8.784530387
City,Niskayuna,NY,"Albany-Schenectady-Troy, NY",2354,60,25.6,82,8.235294118,8.784530387
City,Glenville,NY,"Albany-Schenectady-Troy, NY",2440,60,21.27659574,79,5.294117647,8.784530387
City,Rotterdam,NY,"Albany-Schenectady-Troy, NY",3257,60,21.01910828,92,10,8.784530387
City,East Greenbush,NY,"Albany-Schenectady-Troy, NY",3886,60,15.90909091,88.5,2.941176471,8.784530387
City,Malta,NY,"Albany-Schenectady-Troy, NY",4653,60,16.66666667,91,5.882352941,8.784530387
City,Schodack,NY,"Albany-Schenectady-Troy, NY",5970,60,13.63636364,111,6.470588235,8.784530387
City,Moreau,NY,"Albany-Schenectady-Troy, NY",6074,60,8.860759494,87,1.764705882,8.784530387
City,Wilton,NY,"Albany-Schenectady-Troy, NY",7521,60,20.98765432,88.5,9.411764706,8.784530387
City,Allentown,PA,"Allentown-Bethlehem-Easton, PA-NJ",213,67,16.31878558,66,0.588235294,8.729281768
City,Bethlehem,PA,"Allentown-Bethlehem-Easton, PA-NJ",494,67,20.625,69,2.941176471,8.729281768
City,Easton,PA,"Allentown-Bethlehem-Easton, PA-NJ",1792,67,22.98136646,74,8.823529412,8.729281768
City,Lower Macungie,PA,"Allentown-Bethlehem-Easton, PA-NJ",1895,67,17.51824818,66,1.176470588,8.729281768
City,Upper Macungie,PA,"Allentown-Bethlehem-Easton, PA-NJ",2316,67,20.21276596,77,6.470588235,8.729281768
City,South Whitehall,PA,"Allentown-Bethlehem-Easton, PA-NJ",2934,67,29.24528302,71.5,9.411764706,8.729281768
