RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
274772,Northeast Dallas,Texas,1,0.02,0.0246,0.0116,0.0233,0.0227,0.0236,0.0144,0.0279,0.032,0.0207,0.049,0.0382,0.0366,0.0609,0.0455,0.0479,0.0538,0.0396,0.0198,0.0385,0.0359,0.0588,0.0796,0.0855,0.0485,0.0515,0.0625,0.0524,0.0545,0.0395,0.0435,0.0752,0.036,0.0387,0.0391,0.0901,0.0279,0.038,0.0633,0.0364,0.0546,0.0408,0.049,0.0616,0.0698,0.0473,0.0417,0.053,0.0727,0.0347,0.0484,0.0235,0.0212,0.0377,0.0427,0.0288,0.0314,0.0377,0.0625,0.0274,0.0369,0.0221,0.0124,0.0131,0.0096,0.0109,0.0176,0.0159,0.0309,0.0204,0.0183,0.0357,0.0156,0.0107,0.0281,0.0065,0.0034,0.028,0.0088,0.0187,0.0154,0.0275,0.0263,0.0052,0.0342,0.0109,0.0128,0.0174,0.0113,0.0105,0.0042,0,0.0206,0.0162,0.0048,0.0042,0.0058,0,0.0092,0.0032,0.0034,0.0033,0.0035,0,0.0097,0.0039,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,,,,,,,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,0.2394,0.193,0.1781,0.2012,0.1689,0.2333,0.2095,0.2103,0.2387,0.1979,0.1403,0.1912,0.2403,0.2118,0.2821,0.2597,0.2623,0.2679,0.2421,0.2425,0.1561,0.1959,0.1422,0.2004,0.1168,0.1243,0.0725,0.0568,0.1003,0.1341,0.0741,0.0571,0.0556,0.064,0.0546,0.0558,0.0807,0.0436,0.0471,0.0519,0.0385,0.0225,0.0505,0.0388,0.0302,0.0435,0.0373,0.0177,0.0064,0.0236,0.0277,0.032,0.0449,0.0414,0.0297,0.0147,0.0304,0.0375,0.0449,0.0108,0.0342,0.0264,0.0231,0.0237,0.0248,0.0342,0.0222,0.0195,0.0136,0.018,0.0127,0.0114,0.0179,0.0314,0.0091,0.0125,0.0119,0.0141,0.0167,0.0153,0.017,0.015,0.014,0.0063,0.0178,0.0151,0.0169,0.019,0.0184,0.0114,0.0087,0.0058,0.0066,0.0048,0.0086,0.0082,0.0124,0.006,0.0079,0,0.0037,0.0073,0.0056,0.0059,0.0054,0.0147,0.0049,0.0028,0.0125,0.0033
192689,Paradise,Nevada,3,,,,,,,,,,,,,,0.5989,0.5981,0.5627,0.5799,0.5182,0.5547,0.5471,0.4918,0.4844,0.4565,0.4469,0.4565,0.351,0.3846,0.388,0.4068,0.4459,0.4536,0.4178,0.465,0.4502,0.4964,0.4931,0.4627,0.455,0.3839,0.4076,0.4348,0.4345,0.4251,0.4075,0.3476,0.357,0.3302,0.3144,0.3381,0.3021,0.2819,0.1739,0.1821,0.1173,0.1056,0.0599,0.0392,0.0693,0.0769,0.0846,0.0559,0.0359,0.0549,0.0654,0.0627,0.0505,0.035,0.0227,0.0535,0.0633,0.0578,0.1082,0.09,0.0861,0.0758,0.0387,0.0654,0.0574,0.0621,0.0421,0.0798,0.0557,0.10780000000000001,0.0701,0.0413,0.0549,0.07,0.022,0.0265,0.0306,0.0561,0.0594,0.0482,0.0439,0.0606,0.076,0.0619,0.0285,0.0506,0.0402,0.0356,0.0451,0.0446,0.0326,0.0465,0.0417,0.0481,0.0418,0.037,0.0275,0.0235,0.027,0.0217,0.0025,0.012,0.021,0.0027,0.0028,0.0091,0,0.0046,0.0087,0.0028,0.0025,0.0089,,,
118208,South Los Angeles,California,4,0.3333,0.1364,0.2407,0.1818,0.3065,0.375,0.3286,0.3111,0.3889,0.4556,0.3818,0.4262,0.3472,0.4646,0.4059,0.3333,0.4059,0.4227,0.3645,0.3628,0.24,0.2677,0.2706,0.2414,0.2752,0.2745,0.2247,0.2255,0.1771,0.268,0.2473,0.1566,0.2889,0.2088,0.1881,0.1757,0.25,0.3333,0.2474,0.2574,0.125,0.1515,0.2447,0.1942,0.1626,0.2059,0.1628,0.2297,0.2617,0.25,0.1875,0.1259,0.2222,0.1357,0.1031,0.0924,0.0709,0.0781,0.049,0.1494,0.1132,0.0707,0.0776,0.1101,0.0213,0.0463,0.022,0.011,0.0405,0.0533,0.0549,0.0968,0.0476,0.0179,0.0241,0.0261,0.044,0.0488,0.044,0.0238,0.026,0.0482,0.037,0.0179,0.0233,0.033,0.0532,0.0759,0.0333,0.022,0.0658,0.0137,0.0133,0.0182,0.0202,0.0595,0.0215,0.046,0.019,0.0099,0.033,0.0109,0.022,0.0732,0.0114,0.0096,0,0,0,0.0333,0.0101,0.0087,0.0123,0.0086,0,0.0106,0,0,0,0,0,0,0,0.0116,,,,
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,0.6225,0.6096,0.635,0.3846,0.4816,0.4943,0.5347,0.4315,0.4272,0.4821,0.3897,0.4885,0.4599,0.444,0.4542,0.559,0.5085,0.5043,0.5231,0.4397,0.4604,0.4618,0.4642,0.494,0.4397,0.4457,0.4622,0.4222,0.4228,0.4585,0.3679,0.3463,0.3322,0.2279,0.1818,0.1371,0.115,0.0957,0.0582,0.0625,0.1105,0.0321,0.0725,0.0804,0.0782,0.0348,0.051,0.0531,0.0386,0.0368,0.0718,0.089,0.125,0.0968,0.1223,0.14,0.0905,0.0787,0.1105,0.1299,0.093,0.0895,0.0537,0.0596,0.1549,0.0723,0.0773,0.0865,0.1005,0.0581,0.0544,0.0829,0.0918,0.0876,0.1074,0.0728,0.0333,0.1042,0.0825,0.0631,0.0979,0.0781,0.0811,0.0788,0.0664,0.0532,0.0478,0.0439,0.0749,0.0683,0.0453,0.0381,0.0217,0.0242,0.0289,0.0231,0.0135,0.0081,0.0081,0.0104,0.0131,0,0.0069,,,,,,,
192796,Spring Valley,Nevada,6,0.3632,0.3682,0.3936,0.4091,0.4566,0.3976,0.5132,0.4709,0.5622,0.4628,0.5122,0.5535,0.6458,0.4919,0.6144,0.6022,0.5622,0.5789,0.4988,0.5283,0.5116,0.4589,0.4759,0.4865,0.4807,0.3774,0.3739,0.355,0.4159,0.4517,0.4126,0.4063,0.4562,0.5226,0.4562,0.4019,0.4384,0.4313,0.3503,0.4289,0.4336,0.4308,0.4548,0.4253,0.3341,0.3675,0.3427,0.3634,0.3061,0.2816,0.2252,0.1745,0.1415,0.1481,0.1331,0.089,0.0478,0.1031,0.0996,0.0441,0.0517,0.0559,0.0625,0.0677,0.0544,0.059,0.0396,0.0424,0.0676,0.0706,0.0567,0.0843,0.098,0.0774,0.0947,0.048,0.059,0.056,0.0423,0.0492,0.0558,0.0468,0.0766,0.0852,0.0504,0.0547,0.0386,0.033,0.0338,0.0511,0.0256,0.0526,0.0245,0.0552,0.0644,0.0707,0.0362,0.0503,0.0364,0.044,0.0323,0.0511,0.0157,0.0352,0.0223,0.0327,0.032,0.0233,0.0337,0.0126,0.0128,0.0249,0.0247,0.0056,0.016,0.0146,0.0096,0.0118,0.015,0.0071,0.0042,0.0088,0.0027,0.0025,0.0048,0.0049,0.0062,
268496,Southeast Los Angeles,California,7,0.1538,0.2258,0.1026,0.3,0.275,0.2963,0.2857,0.3023,0.4091,0.4444,0.3333,0.5128,0.2857,0.3692,0.4286,0.443,0.4306,0.3846,0.3896,0.3973,0.3478,0.3333,0.3036,0.2899,0.2712,0.338,0.3375,0.2979,0.3333,0.2429,0.2131,0.2344,0.2373,0.1071,0.2037,0.25,0.1765,0.1392,0.1639,0.1562,0.2698,0.16,0.24,0.2222,0.1471,0.2254,0.2034,0.3065,0.1806,0.1311,0.2241,0.1739,0.1687,0.1389,0.2075,0.0842,0.1111,0.1333,0.0196,0.0286,0.0526,0.0656,0.0597,0.0508,0.0612,0.06,0.0526,0.0213,0,0.02,0,0.0465,0.093,0.0476,0.0222,0.0755,0.0541,0.0222,0.087,0.037,0.1,0.0426,0.075,0.0256,0.0244,0,0,0.0179,0.0364,0.04,0.0476,0.0233,0.0227,0.0189,0.027,0.0185,0.02,0.0227,0.0678,0,0.0244,0.0588,0.0227,0.0208,0.0612,0.0152,0.0244,0.0263,0,0.0256,0.0476,0.0145,0,0.02,0,0.0192,0.0185,0,0,0,0,0.0139,,,,,,
112547,Paradise Valley,Arizona,8,0.049,0.0461,0.0474,0.0782,0.1318,0.1446,0.0728,0.1204,0.1799,0.1684,0.2331,0.2044,0.1806,0.1844,0.1604,0.2018,0.1695,0.1391,0.1541,0.1604,0.1667,0.1618,0.188,0.2308,0.2213,0.1821,0.178,0.172,0.1729,0.1466,0.2117,0.1298,0.2097,0.2165,0.214,0.2253,0.2251,0.218,0.1935,0.1401,0.169,0.1462,0.1399,0.1416,0.1032,0.0805,0.0759,0.1353,0.1009,0.0513,0.0569,0.0622,0.0462,0.0522,0.0479,0.0605,0.0496,0.046,0.0511,0.0688,0.0364,0.026,0.0332,0.029,0.0076,0.0197,0.0189,0.0209,0.0303,0.0118,0.0217,0.0246,0.0141,0.0295,0.0306,0.0182,0.0261,0.0331,0.0168,0.0093,0.0167,0.0192,0.0093,0.0202,0.0079,0.0195,0.0121,0.007,0.0091,0.0087,0.0084,0.003,0.0069,0.0124,0,0.0147,0.0153,0.0127,0.0078,0.0024,0.009,0.0026,0.0174,0.0028,0.0109,0.0057,0.0141,0.0133,0.0139,0.0028,0.0086,0.0091,0,0.0075,0,0.0081,0.0058,0.0087,0.0031,0.0028,0.0044,0.0023,0.0021,0.0047,0,0,0,0.008
111818,Deer Valley,Arizona,9,0.064,0.1145,0.1359,0.1417,0.1034,0.1864,0.1947,0.2163,0.2517,0.327,0.2053,0.2515,0.3058,0.2698,0.296,0.2696,0.252,0.2939,0.2036,0.2652,0.2362,0.2939,0.2522,0.2344,0.191,0.2023,0.2298,0.2065,0.2071,0.2039,0.2294,0.234,0.2129,0.3061,0.3194,0.2795,0.3131,0.255,0.2397,0.182,0.2052,0.1924,0.1568,0.1844,0.1759,0.1757,0.1536,0.12,0.1416,0.1339,0.1234,0.0819,0.0874,0.0343,0.0774,0.0734,0.0669,0.0798,0.0925,0.059,0.0412,0.054,0.051,0.0348,0.0452,0.0396,0.0246,0.0344,0.0181,0.0288,0.0512,0.0553,0.0502,0.0276,0.0492,0.0285,0.0334,0.0304,0.0268,0.0165,0.0194,0.0151,0.0345,0.0193,0.0166,0.0248,0.0147,0.0192,0.0293,0.014,0.0067,0.0172,0.0082,0.0072,0.023,0.0166,0.0206,0.0092,0.0093,0.0026,0.003,0.0059,0.0136,0.0186,0.0233,0.0225,0.0049,0.0227,0.0187,0.0148,0.0104,0,0.0027,0.0079,0.0087,0.0054,0.0067,0,0.0039,0.0034,0.0026,0.0025,0.0073,,,,,
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,0.2432,0.2267,0.1691,0.2211,0.2475,0.2478,0.2363,0.2253,0.1786,0.2058,0.24,0.1556,0.2383,0.1934,0.2121,0.2375,0.2049,0.272,0.2422,0.2137,0.1941,0.1726,0.2022,0.1542,0.122,0.146,0.0891,0.0976,0.0887,0.127,0.074,0.0801,0.0562,0.0557,0.0742,0.0531,0.0469,0.0856,0.0311,0.0733,0.0779,0.0398,0.0596,0.0403,0.0519,0.0404,0.043,0.0415,0.0348,0.0286,0.0333,0.0372,0.0407,0.0288,0.0435,0.0486,0.0314,0.0334,0.0535,0.0344,0.0417,0.0248,0.0153,0.0443,0.0385,0.0529,0.0327,0.0375,0.0256,0.0303,0.023,0.0202,0.007,0.0189,0.0172,0.0033,0.0168,0.0175,0.0131,0.0096,0.0101,0.0232,0.0066,0.0334,0.0184,0.0296,0.0136,0.0194,0.0136,0.0253,0.0154,0.0161,0.0027,0.0059,0.007,0.003,0.0031,0.0153,0.0069,0.0101,0.0038,0.0029,0.017,0.0027,0.0062,0.0052,0.0059,0.0032,,
