"","RegionType","RegionName","State","CBSA.Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro","address","lon","lat"
"1","City","Akron","OH","Akron, OH",102,74,18.69731801,69,8.571428571,4.102209945,"Akron,OH",-81.524017,41.04349
"2","City","Cuyahoga Falls","OH","Akron, OH",854,74,15.74074074,53,0.714285714,4.102209945,"Cuyahoga Falls,OH",-81.473585,41.143906
"3","City","Kent","OH","Akron, OH",1021,74,15.82733813,55,2.142857143,4.102209945,"Kent,OH",-81.332781,41.132323
"4","City","Stow","OH","Akron, OH",1310,74,16.66666667,55,3.571428571,4.102209945,"Stow,OH",-81.450184,41.172402
"5","City","Ravenna","OH","Akron, OH",1363,74,18.75,70,10,4.102209945,"Ravenna,OH",-81.172922,41.163755
"6","City","Barberton","OH","Akron, OH",1864,74,14.38356164,61.5,2.857142857,4.102209945,"Barberton,OH",-81.621195,41.019655
"7","City","Green","OH","Akron, OH",1890,74,16.86746988,64,5.714285714,4.102209945,"Green,OH",-81.461987,40.932506
"8","City","Twinsburg","OH","Akron, OH",2260,74,16.16161616,65,4.285714286,4.102209945,"Twinsburg,OH",-81.440435,41.313304
"9","City","Hudson","OH","Akron, OH",2349,74,18.51851852,68,7.857142857,4.102209945,"Hudson,OH",-81.476335,41.244023
"10","City","Northfield","OH","Akron, OH",2820,74,18,59,5.714285714,4.102209945,"Northfield,OH",-81.54079,41.306454
"11","City","Copley","OH","Akron, OH",3438,74,22.22222222,69,9.285714286,4.102209945,"Copley,OH",-81.644569,41.098944
"12","City","Tallmadge","OH","Akron, OH",3456,74,14.42307692,56.5,1.428571429,4.102209945,"Tallmadge,OH",-81.428883,41.096656
"13","City","Aurora","OH","Akron, OH",4111,74,17.81609195,69,7.142857143,4.102209945,"Aurora,OH",-81.292977,41.311704
"14","City","Streetsboro","OH","Akron, OH",4132,74,16.32653061,67.5,5.714285714,4.102209945,"Streetsboro,OH",-81.340528,41.241655
"15","City","Albany","NY","Albany-Schenectady-Troy, NY",281,60,16.83937824,78.5,2.352941176,8.784530387,"Albany,NY",-73.970812,42.614852
